-9.10403+9.99542i,-2.19513+2.02451i,-0.117999+0.227934i,
-10.2877+5.20034i,-3.71424-10.4307i,-0.664235-6.28324i,
2.44262-1.27425i,-15.388+2.60369i,0.3515-6.33737i,
